subject_id,fold_id,accuracy,balanced_accuracy,left_recall,right_recall,confusion_matrix,collapse_flag,collapse_ratio,pred_counts,n_train,n_test,embedding_dim
49,2,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
49,3,0.1875,0.1875,0.125,0.25,"[[1, 7], [6, 2]]",False,0.5625,"[7, 9]",24,16,20
49,4,0.625,0.625,0.5,0.75,"[[4, 4], [2, 6]]",False,0.625,"[6, 10]",24,16,20
49,5,0.4375,0.4375,0.375,0.5,"[[3, 5], [4, 4]]",False,0.5625,"[7, 9]",24,16,20
49,6,0.4375,0.4375,0.125,0.75,"[[1, 7], [2, 6]]",False,0.8125,"[3, 13]",24,16,20
49,7,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
49,8,0.5,0.5,0.625,0.375,"[[5, 3], [5, 3]]",False,0.625,"[10, 6]",24,16,20
49,9,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
50,0,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
50,1,0.4375,0.4375,0.25,0.625,"[[2, 6], [3, 5]]",False,0.6875,"[5, 11]",24,16,20
50,2,0.375,0.375,0.625,0.125,"[[5, 3], [7, 1]]",False,0.75,"[12, 4]",24,16,20
50,3,0.375,0.375,0.125,0.625,"[[1, 7], [3, 5]]",False,0.75,"[4, 12]",24,16,20
50,4,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
50,5,0.375,0.375,0.25,0.5,"[[2, 6], [4, 4]]",False,0.625,"[6, 10]",24,16,20
50,6,0.5,0.5,0.5,0.5,"[[4, 4], [4, 4]]",False,0.5,"[8, 8]",24,16,20
50,7,0.3125,0.3125,0.375,0.25,"[[3, 5], [6, 2]]",False,0.5625,"[9, 7]",24,16,20
50,8,0.1875,0.1875,0.25,0.125,"[[2, 6], [7, 1]]",False,0.5625,"[9, 7]",24,16,20
50,9,0.5625,0.5625,0.5,0.625,"[[4, 4], [3, 5]]",False,0.5625,"[7, 9]",24,16,20
