subject_id,rep,band,accuracy,balanced_accuracy
9,5,15-30,0.5,0.5666666666666667
9,5,20-30,0.4375,0.5166666666666667
9,5,8-15,0.375,0.4666666666666667
9,6,8-12,0.625,0.6666666666666667
9,6,8-20,0.375,0.4666666666666667
9,6,8-30,0.3125,0.4166666666666667
9,6,12-20,0.4375,0.55
9,6,15-20,0.3125,0.35
9,6,15-30,0.375,0.4666666666666667
9,6,20-30,0.375,0.4666666666666667
9,6,8-15,0.4375,0.4833333333333333
9,7,8-12,0.5625,0.5634920634920635
9,7,8-20,0.5625,0.5634920634920635
9,7,8-30,0.4375,0.42063492063492064
9,7,12-20,0.375,0.3492063492063492
9,7,15-20,0.4375,0.42063492063492064
