subject_id,rep,oracle_maxband_accuracy,oracle_band,nested_accuracy,nested_band
49,2,0.75,8-20,0.75,8-20
49,3,0.75,12-20,0.75,12-20
49,4,0.4375,15-30,0.3125,8-15
49,5,0.6875,8-12,0.5625,8-20
49,6,0.8125,8-20,0.5625,8-12
49,7,0.75,8-15,0.4375,12-20
49,8,0.625,8-20,0.5,8-15
49,9,0.5,15-20,0.5,8-15
50,0,0.5625,8-20,0.4375,15-20
50,1,0.4375,8-15,0.375,8-30
50,2,0.75,12-20,0.5,15-30
50,3,0.6875,15-20,0.375,8-12
50,4,0.6875,12-20,0.4375,8-30
50,5,0.5625,8-12,0.4375,8-30
50,6,0.625,8-30,0.4375,15-30
50,7,0.6875,8-20,0.625,8-30
50,8,0.8125,15-30,0.375,12-20
50,9,0.6875,8-12,0.6875,8-12
