target,branch,strategy,K,rep,balanced_accuracy
22,riemann,transfer_only,0,0,0.5
22,riemann,transfer_plus_cal,0,0,0.5
22,riemann,transfer_only,0,1,0.5
22,riemann,transfer_plus_cal,0,1,0.5
22,riemann,transfer_only,0,2,0.5
22,riemann,transfer_plus_cal,0,2,0.5
22,riemann,transfer_only,0,3,0.5
22,riemann,transfer_plus_cal,0,3,0.5
22,riemann,transfer_only,0,4,0.5
22,riemann,transfer_plus_cal,0,4,0.5
22,riemann,transfer_only,0,5,0.5
22,riemann,transfer_plus_cal,0,5,0.5
22,riemann,transfer_only,0,6,0.5
22,riemann,transfer_plus_cal,0,6,0.5
22,riemann,transfer_only,0,7,0.5
22,riemann,transfer_plus_cal,0,7,0.5
22,riemann,transfer_only,0,8,0.5
22,riemann,transfer_plus_cal,0,8,0.5
22,riemann,transfer_only,0,9,0.5
22,riemann,transfer_plus_cal,0,9,0.5
22,riemann,within_only,4,0,0.5833333333333334
22,riemann,transfer_only,4,0,0.4722222222222222
22,riemann,transfer_plus_cal,4,0,0.4722222222222222
22,riemann,within_only,4,1,0.6944444444444444
22,riemann,transfer_only,4,1,0.5
22,riemann,transfer_plus_cal,4,1,0.5555555555555556
22,riemann,within_only,4,2,0.7777777777777778
22,riemann,transfer_only,4,2,0.5
22,riemann,transfer_plus_cal,4,2,0.6111111111111112
22,riemann,within_only,4,3,0.5833333333333333
22,riemann,transfer_only,4,3,0.4444444444444445
22,riemann,transfer_plus_cal,4,3,0.4444444444444445
22,riemann,within_only,4,4,0.6666666666666666
22,riemann,transfer_only,4,4,0.5
22,riemann,transfer_plus_cal,4,4,0.5277777777777778
22,riemann,within_only,4,5,0.5277777777777778
22,riemann,transfer_only,4,5,0.5
22,riemann,transfer_plus_cal,4,5,0.5277777777777778
22,riemann,within_only,4,6,0.6111111111111112
22,riemann,transfer_only,4,6,0.4722222222222222
22,riemann,transfer_plus_cal,4,6,0.5555555555555556
22,riemann,within_only,4,7,0.6388888888888888
22,riemann,transfer_only,4,7,0.4722222222222222
22,riemann,transfer_plus_cal,4,7,0.4722222222222222
22,riemann,within_only,4,8,0.6666666666666666
22,riemann,transfer_only,4,8,0.4444444444444445
22,riemann,transfer_plus_cal,4,8,0.4444444444444445
22,riemann,within_only,4,9,0.6388888888888888
22,riemann,transfer_only,4,9,0.5
22,riemann,transfer_plus_cal,4,9,0.5277777777777778
22,riemann,within_only,8,0,0.625
22,riemann,transfer_only,8,0,0.5
22,riemann,transfer_plus_cal,8,0,0.5625
22,riemann,within_only,8,1,0.875
22,riemann,transfer_only,8,1,0.53125
22,riemann,transfer_plus_cal,8,1,0.65625
22,riemann,within_only,8,2,0.65625
22,riemann,transfer_only,8,2,0.53125
22,riemann,transfer_plus_cal,8,2,0.625
22,riemann,within_only,8,3,0.75
22,riemann,transfer_only,8,3,0.46875
22,riemann,transfer_plus_cal,8,3,0.53125
22,riemann,within_only,8,4,0.78125
22,riemann,transfer_only,8,4,0.4375
22,riemann,transfer_plus_cal,8,4,0.5
22,riemann,within_only,8,5,0.6875
22,riemann,transfer_only,8,5,0.5625
22,riemann,transfer_plus_cal,8,5,0.625
22,riemann,within_only,8,6,0.71875
22,riemann,transfer_only,8,6,0.46875
22,riemann,transfer_plus_cal,8,6,0.46875
22,riemann,within_only,8,7,0.5625
22,riemann,transfer_only,8,7,0.4375
22,riemann,transfer_plus_cal,8,7,0.4375
22,riemann,within_only,8,8,0.75
22,riemann,transfer_only,8,8,0.5
22,riemann,transfer_plus_cal,8,8,0.53125
22,riemann,within_only,8,9,0.65625
22,riemann,transfer_only,8,9,0.5
22,riemann,transfer_plus_cal,8,9,0.5625
22,riemann,within_only,12,0,0.7142857142857143
22,riemann,transfer_only,12,0,0.5
22,riemann,transfer_plus_cal,12,0,0.6071428571428571
22,riemann,within_only,12,1,0.6428571428571428
22,riemann,transfer_only,12,1,0.5
22,riemann,transfer_plus_cal,12,1,0.5357142857142857
